提拉	ti~la
韩束	han~shu
韩剧	han~ju
憨豆	han~dou
海之韵	hai~zhi~yun
海洋	hai~yang
海军	hai~jun
海关法	hai~guan~fa
孩子闹了	hai~zi~nao~le
还以	huan~yi
还洗澡啊	huan~xi~zao~a
还送你	huan~song~ni
还难	huan~nan
还没有睡呢	huan~mei~you~shui~ni
还离家出走	huan~li~jia~chu~zou
还乐得	huan~le~de
还多吃点	huan~duo~chi~dian
还低	huan~di
还不睡觉啊	huan~bu~shui~jue~a
还不够	huan~bu~gou
哈勃	ha~bo
过上了	guo~shang~le
过户费	guo~hu~fei
广州省	guang~zhou~sheng
光年之外	guang~nian~zhi~wai
灌灌	guan~guan
官报私仇	guan~bao~si~chou
关注你	guan~zhu~ni
关注了	guan~zhu~le
关南路	guan~nan~lu
关键词	guan~jian~ci
怪异恶	guai~yi~e
乖哦	guai~e
故县	gu~xian
骨肉	gu~rou
骨感	gu~gan
骨	gu
股东卡	gu~dong~qia
狗年大吉	gou~nian~da~ji
狗狗狗	gou~gou~gou
沟沟壑壑	gou~gou~he~he
勾搭	gou~da
公主的	gong~zhu~de
公主杯	gong~zhu~bei
工作了	gong~zuo~le
工人	gong~ren
工程部	gong~cheng~bu
跟踪	gen~zong
给做掉啦	gei~zuo~diao~la
葛温	ge~wen
格调	ge~diao
格纳德	ge~na~de
歌曲试听	ge~qu~shi~ting
歌唱	ge~chang
割肉	ge~rou
告诉妈	gao~su~ma
告别	gao~bie
藁城区	gao~cheng~qu
高性能	gao~xing~neng
高洪波	gao~hong~bo
高好多	gao~hao~duo
高防	gao~fang
高端局	gao~duan~ju
高潮了	gao~chao~le
岗上镇	gang~shang~zhen
刚躺下	gang~tang~xia
刚刚的	gang~gang~de
刚吃过饭	gang~chi~guo~fan
赣马镇	gan~ma~zhen
敢脚	gan~jiao
敢当	gan~dang
盖起来个	gai~qi~lai~ge
盖茨	gai~ci
改善生活	gai~shan~sheng~huo
改呢	gai~ni
改了吗	gai~le~ma
改吧	gai~ba
该在	gai~zai
腹股沟	fu~gu~gou
复合词	fu~he~ci
负隅顽抗	fu~yu~wan~kang
腐漫画	fu~man~hua
甫	fu
福州	fu~zhou
福星高照	fu~xing~gao~zhao
芙	fu
蜂窝巢	feng~wo~chao
风筝误	feng~zheng~wu
风水宝地	feng~shui~bao~di
风的季节	feng~de~ji~jie
费电	fei~dian
废经往事	fei~jing~wang~shi
肥沃	fei~wo
非布	fei~bu
飞行	fei~xing
放言花	fang~yan~hua
放烟花	fang~yan~hua
放心吧	fang~xin~ba
放几天	fang~ji~tian
放行	fang~xing
房产局	fang~chan~ju
防晒衣服	fang~shai~yi~fu
方太多	fang~tai~duo
饭吃	fan~chi
反曲弓	fan~qu~gong
烦私刻	fan~si~ke
烦屎了	fan~shi~le
翻腾	fan~teng
发什么快递	fa~shi~yao~kuai~di
发高烧	fa~gao~shao
二则	er~ze
二十三	er~shi~san
二人转业	er~ren~zhuan~ye
二毛	er~mao
二狂	er~kuang
二话	er~hua
儿童乐园	er~tong~le~yuan
恩施	en~shi
恩师	en~shi
饿鬼投胎	e~gui~tou~tai
恶俗	e~su
厄贾兰	e~jia~lan
多者	duo~zhe
多少啥样	duo~shao~sha~yang
多拍	duo~pai
多媒体	duo~mei~ti
多了一份	duo~le~yi~fen
多福	duo~fu
多大的	duo~da~de
多大啊	duo~da~a
对牙齿	dui~ya~chi
对他	dui~ta
对食物的	dui~shi~wu~de
对焦	dui~jiao
对宝宝	dui~bao~bao
队员	dui~yuan
断断续续	duan~duan~xu~xu
断案	duan~an
短视频	duan~shi~pin
端午节	duan~wu~jie
渡河	du~he
杜彬	du~bin
赌神	du~shen
豆芽	dou~ya
豆腐花	dou~fu~hua
抖音神曲	dou~yin~shen~qu
都十块	du~shi~kuai
都换了	du~huan~le
都不许	du~bu~xu
冻伤	dong~shang
动态壁纸	dong~tai~bi~zhi
动说	dong~shuo
董欣	dong~xin
董家	dong~jia
冬夜	dong~ye
冬梅	dong~mei
东涌	dong~yong
东霞	dong~xia
东土大唐	dong~tu~da~tang
东平村	dong~ping~cun
东郡	dong~jun
东江	dong~jiang
东环	dong~huan
丢雷老母	diu~lei~lao~mu
定型	ding~xing
定起	ding~qi
貂婵	diao~chan
店经理	dian~jing~li
电脑游戏	dian~nao~you~xi
电话网	dian~hua~wang
电炒锅	dian~chao~guo
第一句	di~yi~ju
第三胎	di~san~tai
地面	di~mian
底下人	di~xia~ren
低声下气	di~sheng~xia~qi
等会吧	deng~hui~ba
等不	deng~bu
的时候才	de~shi~hou~cai
的来	de~lai
德	de
得知	de~zhi
道友	dao~you
道去了	dao~qu~le
倒计时	dao~ji~shi
岛内	dao~nei
刀豆	dao~dou
荡然无存	dang~ran~wu~cun
档案	dang~an
当爸妈	dang~ba~ma
蛋糕店	dan~gao~dian
淡蓝	dan~lan
但是我疼	dan~shi~wo~teng
耽美	dan~mei
单着	dan~zhao
单声	dan~sheng
单亲家庭	dan~qin~jia~ting
带您	dai~nin
带红领巾	dai~hong~ling~jin
代课	dai~ke
代金卷	dai~jin~juan
逮虾户	dai~xia~hu
大写	da~xie
大顺	da~shun
大人轻	da~ren~qing
大桥	da~qiao
大拇指	da~mu~zhi
大名鼎鼎	da~ming~ding~ding
大家子	da~jia~zi
大家庭里	da~jia~ting~li
大鸡腿	da~ji~tui
大后天	da~hou~tian
大包子	da~bao~zi
打上路	da~shang~lu
打麻将两	da~ma~jiang~liang
打过	da~guo
打工去了	da~gong~qu~le
打赌	da~du
打地鼠	da~di~shu
打不成	da~bu~cheng
存库	cun~ku
翠屏北里	cui~ping~bei~li
撺掇	cuan~duo
粗心大意	cu~xin~da~yi
从今天起	cong~jin~tian~qi
此外	ci~wai
此群	ci~qun
辞辞	ci~ci
纯酷	chun~ku
春熙路	chun~xi~lu
春娇与志明	chun~jiao~yu~zhi~ming
春	chun
垂头丧气	chui~tou~sang~qi
床铺	chuang~pu
串修	chuan~xiu
汌	chuan
触诊	hong~zhen
处摸	chu~mo
初吻	chu~wen
初见初恋	chu~jian~chu~lian
出摊了	chu~tan~le
出入证	chu~ru~zheng
出来玩啊	chu~lai~wan~a
臭包子	chou~bao~zi
抽湿机	chou~shi~ji
崇拜	chong~bai
虫子	chong~zi
冲凉房	chong~liang~fang
茌平县	chi~ping~xian
痴情玫瑰花	chi~qing~mei~gui~hua
吃咸	chi~xian
吃没	chi~mei
吃狗	chi~gou
吃干的	chi~gan~de
吃饭吗	chi~fan~ma
城里人	cheng~li~ren
城	cheng
成河	cheng~he
车里	che~li
炒辣椒	chao~la~jiao
炒	chao
潮吹	chao~chui
超级喜欢你	chao~ji~xi~huan~ni
超出	chao~chu
唱腔另类	chang~qiang~ling~lei
常垒	chang~lei
常珂	chang~ke
常	chang
仧	chang
昌平	chang~ping
柴人	chai~ren
差不多先生	cha~bu~duo~xian~sheng
察一檫	cha~yi~cha
查处	cha~chu
插座儿	cha~zuo~er
叉	cha
草头	cao~tou
苍穹	cang~qiong
餐桌	can~zhuo
餐馆	can~guan
蔡元培	cai~yuan~pei
财务室	cai~wu~shi
才上去	cai~shang~qu
才会在	cai~hui~zai
才出发	cai~chu~fa
布朗熊	bu~lang~xiong
不止一个	bu~zhi~yi~ge
不整齐	bu~zheng~qi
不要吗	bu~yao~ma
不要回来了	bu~yao~hui~lai~le
不要动	bu~yao~dong
不延迟么	bu~yan~chi~yao
不小心	bu~xiao~xin
不想想	bu~xiang~xiang
不下啦	bu~xia~la
不惜一切	bu~xi~yi~qie
不停的	bu~ting~de
不调	bu~diao
不讨	bu~tao
不说啦	bu~shuo~la
不睡啊	bu~shui~a
不是那	bu~shi~na
不少号	bu~shao~hao
不少贵	bu~shao~gui
不傻	bu~sha
不让把	bu~rang~ba
不缺	bu~que
不拼	bu~pin
不耐	bu~nai
不列颠	bu~lie~dian
不来嘛	bu~lai~ma
不看你个	bu~kan~ni~ge
不堪区	bu~kan~qu
不接电话啊	bu~jie~dian~hua~a
不讲究	bu~jiang~jiu
不见你给我	bu~jian~ni~gei~wo
不加绒	bu~jia~rong
不会了	bu~hui~le
不会啊	bu~hui~a
不好意思哦	bu~hao~yi~si~e
不好呢	bu~hao~ni
不行想	bu~xing~xiang
不行啊	bu~xing~a
不告	bu~gao
不敢上	bu~gan~shang
不放假	bu~fang~jia
不乏车	bu~fa~che
不到自荐	bu~dao~zi~jian
不出手	bu~chu~shou
不茶不饭	bu~cha~bu~fan
哺乳期	bu~ru~qi
补作业	bu~zuo~ye
补一下	bu~yi~xia
补上来	bu~shang~lai
博美	bo~mei
波罗蜜	bo~luo~mi
并立	bing~li
冰山	bing~shan
滨城区	bin~cheng~qu
滨城	bin~cheng
别想那麽	bie~xiang~na~mo
表扬	biao~yang
表带	biao~dai
标题	biao~ti
避免	bi~mian
闭目养神	bi~mu~yang~shen
比想	bi~xiang
比我大的	bi~wo~da~de
比他	bi~ta
比如说	bi~ru~shuo
被禄	bei~lu
背到	bei~dao
备忘录	bei~wang~lu
北汽	bei~qi
抱不平	bao~bu~ping
报名费	bao~ming~fei
报价	bao~jia
报告书	bao~gao~shu
保驾	bao~jia
半缘	ban~yuan
半坡店	ban~po~dian
版娘小薇	ban~niang~xiao~wei
板型	ban~xing
搬砖	ban~zhuan
班人	ban~ren
败兴	bai~xing
百日	bai~ri
百年大计	bai~nian~da~ji
百倍	bai~bei
白云区	bai~yun~qu
白洋人	bai~yang~ren
白术	bai~zhu
白蛇	bai~she
白虎	bai~hu
爸爸闭翳	ba~ba~bi~yi
巴基斯坦	ba~ji~si~tan
巴	ba
暗黑	an~hei
暗藏	an~cang
婩	yan
安娜的橱窗	an~nuo~de~chu~chuang
爱着你	ai~zhao~ni
爱你爱不够	ai~ni~ai~bu~gou
挨个	ai~ge
唉唉唉唉	ai~ai~ai~ai
啊哈哈和	a~ha~ha~he
阿卡迪亚	a~qia~di~ya
阿杜	a~du
做走夜来	zuo~zou~ye~lai
做了笔记	zuo~le~bi~ji
做饭了吗	zuo~fan~le~ma
做得到	zuo~de~dao
做表	zuo~biao
坐诊	zuo~zhen
坐不下	zuo~bu~xia
尊严	zun~yan
最早	zui~zao
最想	zui~xiang
最美的	zui~mei~de
组合	zu~he
租个	zu~ge
租的	zu~de
走嘛	zou~ma
总有	zong~you
总社	zong~she
字无羡	zi~wu~xian
字忘机	zi~wang~ji
字晚吟	zi~wan~yin
字数	zi~shu
字母歌	zi~mu~ge
自由自在	zi~you~zi~zai
自修	zi~xiu
自觉的	zi~jue~de
自己买	zi~ji~mai
紫蜘蛛	zi~zhi~zhu
紫莫	zi~mo
子牙河	zi~ya~he
子淇	zi~qi
子华	zi~hua
子公司	zi~gong~si
追赶	zhui~gan
壮	zhuang
装载机	zhuang~zai~ji
赚了	zhuan~le
赚的	zhuan~de
专属	zhuan~shu
专场	zhuan~chang
祝福你	zhu~fu~ni
注意力	zhu~yi~li
注意看	zhu~yi~kan
注销	zhu~xiao
注定	zhu~ding
住到	zhu~dao
煮饭了	zhu~fan~le
主皮	zhu~pi
主角介绍	zhu~jiao~jie~shao
主管道	zhu~guan~dao
主妇也要拼	zhu~fu~ye~yao~pin
主被	zhu~bei
皱皱巴巴	zhou~zhou~ba~ba
周其	zhou~qi
重生植	zhong~sheng~zhi
重生门	zhong~sheng~men
重情义	zhong~qing~yi
重来	zhong~lai
重光	zhong~guang
种地	zhong~di
钟意	zhong~yi
终究	zhong~jiu
中长版	zhong~chang~ban
中丧生	zhong~sang~sheng
中年	zhong~nian
中老年人	zhong~lao~nian~ren
中国共产党	zhong~guo~gong~chan~dang
志气	zhi~qi
至死	zhi~si
至高无上	zhi~gao~wu~shang
植树节	zhi~shu~jie
侄儿	zhi~er
知识库	zhi~shi~ku
只收	zhi~shou
只剩	zhi~sheng
之喜	zhi~xi
郑博	zheng~bo
证明终了	zheng~ming~zhong~le
正早	zheng~zao
正香	zheng~xiang
真名	zhen~ming
真谛	zhen~di
这四个	zhe~si~ge
这口	zhe~kou
这几个月	zhe~ji~ge~yue
这会才	zhe~hui~cai
照排	zhao~pai
赵忠祥	zhao~zhong~xiang
赵鑫	zhao~xin
赵薇	zhao~wei
赵谈	zhao~tan
召阴旗	zhao~yin~qi
找工	zhao~gong
昭昭牵牛星	zhao~zhao~qian~niu~xing
招待	zhao~dai
账	zhang
帐子	zhang~zi
长条	chang~tiao
长大的	chang~da~de
长城	chang~cheng
张武	zhang~wu
张曼玉	zhang~man~yu
张莉	zhang~li
战略	zhan~lve
宅男	zhai~nan
柞水	zuo~shui
扎上	zha~shang
赠给	zeng~gei
增香	zeng~xiang
怎末办	zen~mo~ban
怎没填	zen~mei~tian
则模范	ze~mo~fan
枣子	zao~zi
早泄	zao~xie
早些	zao~xie
早上八点	zao~shang~ba~dian
咱现在	zan~xian~zai
咱村	zan~cun
在做什么	zai~zuo~shi~yao
在学	zai~xue
在西宁	zai~xi~ning
在晚上	zai~wan~shang
在什么	zai~shi~yao
在街边	zai~jie~bian
在家里吗	zai~jia~li~ma
在后边	zai~hou~bian
在带	zai~dai
在吃饭	zai~chi~fan
在场	zai~chang
再有	zai~you
咋得了	zha~de~le
韵母	yun~mu
云梦莲花坞	yun~meng~lian~hua~wu
云梦江氏	yun~meng~jiang~shi
云梦	yun~meng
悦	yue
愿得	yuan~de
苑颖	yuan~ying
远了	yuan~le
原主人	yuan~zhu~ren
遇见啊	yu~jian~a
浴缸	yu~gang
语音聊天	yu~yin~liao~tian
雨晴	yu~qing
与兄长	yu~xiong~chang
虞紫鸢	yu~zi~yuan
榆中县	yu~zhong~xian
榆次	yu~ci
瑜瑜	yu~yu
瑜瑕	yu~xia
娱	yu
鱼籽	yu~zi
鱼虾	yu~xia
鱼头豆腐汤	yu~tou~dou~fu~tang
余杭区	yu~hang~qu
于夏晴	yu~xia~qing
又下	you~xia
又吐	you~tu
又撩妹	you~liao~mei
又哭又闹	you~ku~you~nao
又见面	you~jian~mian
有印象	you~yin~xiang
有一次	you~yi~ci
有药师那	you~yao~shi~na
有样	you~yang
有完	you~wan
有图案	you~tu~an
有啥用	you~sha~yong
有啥事	you~sha~shi
有木有人	you~mu~you~ren
有恩	you~en
有点急事	you~dian~ji~shi
有笔	you~bi
游侠出身	you~xia~chu~shen
油嘴	you~zui
优雅	you~ya
优	you
用来	yong~lai
用户名	yong~hu~ming
用过	yong~guo
泳装写真	yong~zhuang~xie~zhen
永远都	yong~yuan~du
慵懒	yong~lan
拥	yong
哟哟哟	yo~yo~yo
哟不	yo~bu
硬深深	ying~shen~shen
应该是的	ying~gai~shi~de
影音	ying~yin
影	ying
营业部	ying~ye~bu
萤火	ying~huo
鹦鹉	ying~wu
英语的	ying~yu~de
英姐	ying~jie
隐形眼镜	yin~xing~yan~jing
隐私	yin~si
隐婚	yin~hun
引导	yin~dao
银粉	yin~fen
音声	yin~sheng
阴雨	yin~yu
阴虎符	yin~hu~fu
因为它	yin~wei~ta
易遥	yi~yao
易贴士	yi~tie~shi
已有	yi~you
宜信	yi~xin
医院检查	yi~yuan~jian~cha
医学	yi~xue
衣着	yi~zhao
衣服鞋	yi~fu~xie
衣服钱	yi~fu~qian
一同生活	yi~tong~sheng~huo
一条街	yi~tiao~jie
一条狗的	yi~tiao~gou~de
一色	yi~se
一日	yi~ri
一圈	yi~quan
一清	yi~qing
一命	yi~ming
一脸懵逼	yi~lian~meng~bi
一届	yi~jie
一家四口	yi~jia~si~kou
一家亲	yi~jia~qin
一分子	yi~fen~zi
一点儿	yi~dian~er
一边儿	yi~bian~er
一半斤	yi~ban~jin
一班人	yi~ban~ren
一败涂地	yi~bai~tu~di
夜猎	ye~lie
夜景	ye~jing
页数	ye~shu
也没用	ye~mei~yong
要早	yao~zao
要事业	yao~shi~ye
要么	yao~yao
要来	yao~lai
要紧	yao~jin
要会	yao~hui
药颜	yao~yan
药娃了	yao~wa~le
药电睡	yao~dian~shui
姚家已	yao~jia~yi
养鸭	yang~ya
养活花	yang~huo~hua
养活	yang~huo
洋气	yang~qi
杨楼	yang~lou
杨迪	yang~di
羊脂	yang~zhi
羊羔肉	yang~gao~rou
燕针	yan~zhen
宴席	yan~xi
艳姐	yan~jie
演讲	yan~jiang
眼上	yan~shang
眼眸	yan~mou
眼膜	yan~mo
衍道	yan~dao
阎妮	yan~ni
盐城	yan~cheng
言情小说	yan~qing~xiao~shuo
亚瑟	ya~se
亚龙湾	ya~long~wan
亚静	ya~jing
雅倩	ya~qian
雅安	ya~an
压乐血	ya~le~xie
训诫	xun~jie
询问	xun~wen
血红蛋白	xie~hong~dan~bai
学英语	xue~ying~yu
学学习	xue~xue~xi
学号	xue~hao
削了皮子	xue~le~pi~zi
泫雅	xuan~ya
栩栩然	xu~xu~ran
需不需要	xu~bu~xu~yao
修正	xiu~zheng
修容	xiu~rong
胸被	xiong~bei
幸运者	xing~yun~zhe
星瑶	xing~yao
信用证	xin~yong~zheng
信不新	xin~bu~xin
新平	xin~ping
新年礼物	xin~nian~li~wu
新浪	xin~lang
新被子	xin~bei~zi
欣慰	xin~wei
辛有志	xin~you~zhi
心疼你	xin~teng~ni
蟹腿	xie~tui
谢谢谢拉	xie~xie~xie~la
写玩再玩	xie~wan~zai~wan
写了吗	xie~le~ma
邪风	xie~feng
些微	xie~wei
小星星	xiao~xing~xing
小兔子	xiao~tu~zi
小视频	xiao~shi~pin
小钱	xiao~qian
小南庄	xiao~nan~zhuang
小南	xiao~nan
小梦	xiao~meng
小姐与流氓	xiao~jie~yu~liu~mang
小黄鱼	xiao~huang~yu
小贵	xiao~gui
小公主	xiao~gong~zhu
小丑	xiao~chou
潇啥	xiao~sha
肖村营村	xiao~cun~ying~cun
肖村乡	xiao~cun~xiang
像力	xiang~li
向日葵	xiang~ri~kui
想了	xiang~le
想表达	xiang~biao~da
相对	xiang~dui
相差	xiang~cha
馅饼	xian~bing
线圈	xian~quan
险情	xian~qing
嫌弃我	xian~qi~wo
咸辉	xian~hui
闲闲	xian~xian
闲了	xian~le
先祖	xian~zu
夏至未至	xia~zhi~wei~zhi
夏训	xia~xun
下学期	xia~xue~qi
下手	xia~shou
下火	xia~huo
下划线	xia~hua~xian
下锅	xia~guo
下颚	xia~e
细皮	xi~pi
系统工程	xi~tong~gong~cheng
系上	xi~shang
系后	xi~hou
系咯	xi~ge
喜怒哀乐	xi~nu~ai~le
喜欢她	xi~huan~ta
徙	xi
洗肠	xi~chang
习相远	xi~xiang~yuan
习惯好了	xi~guan~hao~le
犀利	xi~li
吸球器	xi~qiu~qi
西施秘史	xi~shi~mi~shi
西海	xi~hai
西峰	xi~feng
西藏	xi~cang
西部	xi~bu
西北王	xi~bei~wang
西北	xi~bei
物流配送	wu~liu~pei~song
午餐肉	wu~can~rou
五星级	wu~xing~ji
五岁	wu~sui
五点半	wu~dian~ban
吴首朝	wu~shou~zhao
无缘无故	wu~yuan~wu~gu
无依无靠	wu~yi~wu~kao
无言以对	wu~yan~yi~dui
无闻	wu~wen
无上邪尊	wu~shang~xie~zun
无卡	wu~qia
无处	wu~chu
屋顶	wu~ding
污染	wu~ran
我走	wo~zou
我这个	wo~zhe~ge
我找	wo~zhao
我在外边么	wo~zai~wai~bian~yao
我再下去	wo~zai~xia~qu
我一想	wo~yi~xiang
我也会	wo~ye~hui
我也发	wo~ye~fa
我也不会	wo~ye~bu~hui
我要啊	wo~yao~a
我学到	wo~xue~dao
我协会	wo~xie~hui
我微信	wo~wei~xin
我踢	wo~ti
我叔	wo~shu
我是谁	wo~shi~shui
我试试	wo~shi~shi
我生气了	wo~sheng~qi~le
我上头	wo~shang~tou
我杀	wo~sha
我人缘	wo~ren~yuan
我看下	wo~kan~xia
我急需	wo~ji~xu
我哼天	wo~heng~tian
我好无聊啊	wo~hao~wu~liao~a
我哈	wo~ha
我给了	wo~gei~le
我的愿望是	wo~de~yuan~wang~shi
我的兴趣	wo~de~xing~qu
我穿	wo~chuan
我不知道呀	wo~bu~zhi~dao~ya
我不在乎	wo~bu~zai~hu
我不接	wo~bu~jie
我不发	wo~bu~fa
我不菜	wo~bu~cai
我保证	wo~bao~zheng
我把她	wo~ba~ta
窝囊废	wo~nang~fei
窝点	wo~dian
窝巢	wo~chao
问问她	wen~wen~ta
问个	wen~ge
吻合	wen~he
文玉	wen~yu
文轩	wen~xuan
文武官	wen~wu~guan
文具	wen~ju
温逐流	wen~zhu~liu
温馨家园	wen~xin~jia~yuan
魏长泽	wei~chang~ze
胃肠	wei~chang
未来之诚	wei~lai~zhi~cheng
未来的	wei~lai~de
未婚	wei~hun
尾号	wei~hao
围裙	wei~qun
为谁	wei~shui
为咯和	wei~ge~he
薇薇奶奶	wei~wei~nai~nai
薇佳棋	wei~jia~qi
微波炉	wei~bo~lu
威曼	wei~man
王秀丽	wang~xiu~li
王继鹏	wang~ji~peng
万福河	wan~fu~he
晚霜	wan~shuang
晚点儿	wan~dian~er
晚安好梦	wan~an~hao~meng
玩里	wan~li
玩吃鸡吧	wan~chi~ji~ba
玩吃	wan~chi
湾仔码头	wan~zi~ma~tou
外伤	wai~shang
外边	wai~bian
脱离	tuo~li
拖把	tuo~ba
团体	tuan~ti
土豆麻麻	tu~dou~ma~ma
途中	tu~zhong
突击队	tu~ji~dui
透支	tou~zhi
透心凉	tou~xin~liang
透心	tou~xin
投进	tou~jin
投降	tou~jiang
头套	tou~tao
头发油	tou~fa~you
头孢	tou~bao
同一家	tong~yi~jia
同一个	tong~yi~ge
同胞	tong~bao
通体漆黑	tong~ti~qi~hei
通辽团	tong~liao~tuan
挺美观	ting~mei~guan
庭院	ting~yuan
厅长	ting~chang
铁血	tie~xie
跳跳	tiao~tiao
调休	diao~xiu
甜椒	tian~jiao
天地人	tian~di~ren
提取罐	ti~qu~guan
特别是	te~bie~shi
淘洗	tao~xi
掏腰包	tao~yao~bao
趟会	tang~hui
躺地	tang~di
唐僧	tang~seng
探测	tan~ce
谈上	tan~shang
谈论	tan~lun
谈话	tan~hua
泰州	tai~zhou
泰利	tai~li
太早了吧	tai~zao~le~ba
太小	tai~xiao
太帅了	tai~shuai~le
太姥	tai~mu
踏入	ta~ru
她知道	ta~zhi~dao
她要得	ta~yao~de
他叫我	ta~jiao~wo
他弟	ta~di
他到	ta~dao
锁闭阀门	suo~bi~fa~men
所得税	suo~de~shui
岁的	sui~de
随着	sui~zhao
绥化	sui~hua
酸汤面	suan~tang~mian
酸汤	suan~tang
酸辣粉	suan~la~fen
酥酥	su~su
伺候	si~hou
四五六	si~wu~liu
四排	si~pai
四杰可	si~jie~ke
四代	si~dai
死么	si~yao
死板	si~ban
斯莱克	si~lai~ke
思雅	si~ya
私吞	si~tun
硕	shuo
说着	shuo~zhao
说下	shuo~xia
说她	shuo~ta
说说笑笑	shuo~shuo~xiao~xiao
说句	shuo~ju
说法	shuo~fa
睡觉去	shui~jue~qu
水路	shui~lu
水滴	shui~di
谁帮你	shui~bang~ni
谁啊	shui~a
刷刷	shua~shua
数着	shu~zhao
数千	shu~qian
树木	shu~mu
属虎	shu~hu
输出	shu~chu
疏导	shu~dao
瘦客	shou~ke
瘦肚子	shou~du~zi
兽模	shou~mo
守住	shou~zhu
手软	shou~ruan
手铐	shou~kao
手绢	shou~juan
手肩	shou~jian
手机没电	shou~ji~mei~dian
手电	shou~dian
手持	shou~chi
手册	shou~ce
手臂	shou~bi
适合我的	shi~he~wo~de
是怎么	shi~zen~yao
是我的错	shi~wo~de~cuo
是什末	shi~shi~mo
是哦	shi~e
是男	shi~nan
是唱歌	shi~chang~ge
事儿大	shi~er~da
似乎	si~hu
世界里	shi~jie~li
世家公子榜	shi~jia~gong~zi~bang
示子律	shi~zi~lv
时态	shi~tai
石材	shi~cai
十字军	shi~zi~jun
十一个	shi~yi~ge
十篇	shi~pian
诗句	shi~ju
失笑	shi~xiao
失算了	shi~suan~le
声声	sheng~sheng
生殖	sheng~zhi
生效	sheng~xiao
升麻	sheng~ma
婶娘	shen~niang
神娃	shen~wa
神节	shen~jie
什么哦	shi~yao~e
什妈妈	shi~ma~ma
深咖	shen~ka
伸手	shen~shou
射日	she~ri
绍兴	shao~xing
少钱	shao~qian
少女心	shao~nv~xin
少打点	shao~da~dian
少	shao
烧烧	shao~shao
上市	shang~shi
上上谦	shang~shang~qian
上海大众	shang~hai~da~zhong
上半个	shang~ban~ge
晒伤	shai~shang
傻不垃圾	sha~bu~la~ji
啥意思啊	sha~yi~si~a
啥时候谁呢	sha~shi~hou~shui~ni
啥好吃的	sha~hao~chi~de
啥东	sha~dong
沙滩裙	sha~tan~qun
杀手飞	sha~shou~fei
杀戮	sha~lu
瑟瑟	se~se
色彩	se~cai
嫂嫂	sao~sao
桑园	sang~yuan
散心	san~xin
伞	san
三天了	san~tian~le
三千	san~qian
三年内	san~nian~nei
三连四方	san~lian~si~fang
三角巾	san~jiao~jin
三毒圣手	san~du~sheng~shou
三杯鸡	san~bei~ji
塞鱼	sai~yu
塞车	sai~che
塞北	sai~bei
塞	sai
润达	run~da
瑞雪	rui~xue
软管	ruan~guan
入户	ru~hu
汝南	ru~nan
融入	rong~ru
容我	rong~wo
日月	ri~yue
人去	ren~qu
人脑	ren~nao
人都是	ren~du~shi
人参	ren~can
人不在	ren~bu~zai
热水器	re~shui~qi
惹她	re~ta
扰乱	rao~luan
让她们	rang~ta~men
燃气表	ran~qi~biao
群里的	qun~li~de
全新	quan~xin
趣豆	qu~dou
去医院	qu~yi~yuan
去呀	qu~ya
去太原了	qu~tai~yuan~le
祛斑霜	qu~ban~shuang
琼瑶	qiong~yao
穷期道事变	qiong~qi~dao~shi~bian
请多指教	qing~duo~zhi~jiao
情侣装	qing~lv~zhuang
清开	qing~kai
清卡	qing~qia
清货	qing~huo
清华大学	qing~hua~da~xue
青苹	qing~ping
秦岭	qin~ling
亲的	qin~de
抢人头	qiang~ren~tou
抢了	qiang~le
强扭	qiang~niu
倩	qian
潜力	qian~li
前列腺	qian~lie~xian
千秋	qian~qiu
契丹	qi~dan
汽车站	qi~che~zhan
气血不足	qi~xie~bu~zu
气阀	qi~fa
起皮	qi~pi
起步	qi~bu
岂不	qi~bu
岂	qi
祈	qi
奇特	qi~te
普攻	pu~gong
仆人	pu~ren
铺天盖地	pu~tian~gai~di
扑到	pu~dao
破一	po~yi
泼辣强势	po~la~qiang~shi
凭什么	ping~shi~yao
平房进入啦	ping~fang~jin~ru~la
品牌	pin~pai
贫困	pin~kun
漂了	piao~le
骗子家族	pian~zi~jia~zu
偏白	pian~bai
皮拉	pi~la
碰口	peng~kou
捧菜	peng~cai
配好了吗	pei~hao~le~ma
配额	pei~e
佩斯	pei~si
赔礼	pei~li
泡沫轴	pao~mo~zhou
抛弃我	pao~qi~wo
拍个视频	pai~ge~shi~pin
欧莱	ou~lai
哦克	e~ke
女皇	nv~huang
女宝	nv~bao
奴仆	nu~pu
弄管理	nong~guan~li
農農	nong~nong
浓缩	nong~suo
牛摘衣	niu~zhai~yi
牛肉面	niu~rou~mian
牛百叶	niu~bai~ye
尿布疹	niao~bu~zhen
年底了	nian~di~le
匿名信	ni~ming~xin
你做饭	ni~zuo~fan
你有时	ni~you~shi
你先问问	ni~xian~wen~wen
你说什么	ni~shuo~shi~yao
你睡取	ni~shui~qu
你睡嘛	ni~shui~ma
你睡啦吗	ni~shui~la~ma
你数学	ni~shu~xue
你什么时候	ni~shi~yao~shi~hou
你上来的	ni~shang~lai~de
你啥意思	ni~sha~yi~si
你人类	ni~ren~lei
你让她	ni~rang~ta
你去太原	ni~qu~tai~yuan
你拿了吗	ni~na~le~ma
你们也	ni~men~ye
你没回	ni~mei~hui
你忙什么呢	ni~mang~shi~yao~ni
你买枪	ni~mai~qiang
你离开我了	ni~li~kai~wo~le
你老公	ni~lao~gong
你快	ni~kuai
你进去	ni~jin~qu
